status,source_account_folder,source_account_id,source_bucket,bucket_key,db_path,rows_read,error
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_64_4.34.165_BUY_2026-06-01_to_2026-06-03,EURUSD_64_4.34.165_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_64_4.34.165_BUY_2026-06-01_to_2026-06-03/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_71_5.30.159_SELL_2026-06-02_to_2026-06-04,EURUSD_71_5.30.159_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_71_5.30.159_SELL_2026-06-02_to_2026-06-04/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_72_5.42.127_SELL_2026-06-02_to_2026-06-04,EURUSD_72_5.42.127_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_72_5.42.127_SELL_2026-06-02_to_2026-06-04/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_73_5.43.181_SELL_2026-06-01_to_2026-06-04,EURUSD_73_5.43.181_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_73_5.43.181_SELL_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,EURUSD_98_3.65.188_SELL_2026-06-02_to_2026-06-02,EURUSD_98_3.65.188_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/EURUSD_98_3.65.188_SELL_2026-06-02_to_2026-06-02/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPJPY_50_5.35.116_BUY_2026-06-04_to_2026-06-04,GBPJPY_50_5.35.116_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPJPY_50_5.35.116_BUY_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPJPY_65_2.14.157_BUY_2026-06-01_to_2026-06-03,GBPJPY_65_2.14.157_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPJPY_65_2.14.157_BUY_2026-06-01_to_2026-06-03/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPJPY_66_4.17.131_BOTH_2026-06-01_to_2026-06-04,GBPJPY_66_4.17.131_BOTH,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPJPY_66_4.17.131_BOTH_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPJPY_67_4.19.99_BOTH_2026-06-01_to_2026-06-04,GBPJPY_67_4.19.99_BOTH,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPJPY_67_4.19.99_BOTH_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPJPY_80_3.9.165_BUY_2026-06-01_to_2026-06-04,GBPJPY_80_3.9.165_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPJPY_80_3.9.165_BUY_2026-06-01_to_2026-06-04/trades.db,5,
