bucket_key,status,source_strategy_dbs,source_accounts,rows_written,output_db,first_close_time_utc,last_close_time_utc
US500_28_3.8.114_BUY,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/US500_28_3.8.114_BUY_2026-06-01_to_2026-06-05/trades.db,2026-06-01 16:11:50+0000,2026-06-05 03:52:23+0000
US500_29_3.32.156_BUY,OK,1,1513550384_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/US500_29_3.32.156_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 01:16:08+0000,2026-06-04 02:00:47+0000
US500_82_2.67.165_BUY,OK,1,1513550384_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/US500_82_2.67.165_BUY_2026-06-03_to_2026-06-03/trades.db,2026-06-03 15:30:22+0000,2026-06-03 16:44:22+0000
USDCAD_30_2.34.141_BUY,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_30_2.34.141_BUY_2026-06-02_to_2026-06-04/trades.db,2026-06-02 12:09:10+0000,2026-06-04 18:18:37+0000
USDCAD_31_3.2.189_BUY,OK,1,1513550384_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_31_3.2.189_BUY_2026-06-02_to_2026-06-04/trades.db,2026-06-02 23:45:02+0000,2026-06-04 23:45:00+0000
USDCAD_32_4.16.175_BUY,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_32_4.16.175_BUY_2026-06-02_to_2026-06-04/trades.db,2026-06-02 23:45:02+0000,2026-06-04 23:06:00+0000
USDCAD_33_5.11.180_BUY,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_33_5.11.180_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 23:45:00+0000,2026-06-04 23:45:00+0000
USDCAD_34_1.8.187_BUY,OK,1,1513550384_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_34_1.8.187_BUY_2026-06-01_to_2026-06-02/trades.db,2026-06-01 10:43:03+0000,2026-06-02 23:45:02+0000
USDCAD_51_6.27.122_BUY,OK,1,1513550384_DEMO,5,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_51_6.27.122_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 12:22:42+0000,2026-06-04 10:37:12+0000
USDCAD_77_3.51.113_SELL,OK,1,1513550384_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/USDCAD_77_3.51.113_SELL_2026-06-01_to_2026-06-03/trades.db,2026-06-01 14:03:30+0000,2026-06-03 09:24:27+0000
